rank,worth_billions,category,name,age,country,city,source,industry,countryOfCitizenship,self_made,status,gender,birthDate,lastName,firstName,date,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country,age_group,worth_tier,year,company_founded,company_name,company_relationship,company_sector,company_type,country_code,gdp,region,wealth_type,wealth_category,from_emerging,inherited_raw,was_founder,was_political,inherited
317,7.2,Food & Beverage,Zong Qinghou,77.0,China,Hangzhou,Beverages,Food & Beverage,China,True,D,male,1945-10-01 00:00:00,Zong,Qinghou,2023-04-04 05:01:00,1945.0,10.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,70s,2–10B,2023,,,,,,,,,,,,,,,
325,7.1,Technology,Judy Faulkner,79.0,United States,Madison,Healthcare software,Technology,United States,True,U,female,1943-08-01 00:00:00,Faulkner,Judy,2023-04-04 05:01:00,1943.0,8.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,70s,2–10B,2023,,,,,,,,,,,,,,,
325,7.1,Gambling & Casinos,Johann Graf,76.0,Austria,Vienna,Gambling,Gambling & Casinos,Austria,True,U,male,1947-01-03 00:00:00,Graf,Johann,2023-04-04 05:01:00,1947.0,1.0,3.0,118.06,1.5,"$446,314,739,528 ",85.1,103.1,81.6,25.4,51.4,8877067.0,47.516231,14.550072,70s,2–10B,2023,,,,,,,,,,,,,,,
325,7.1,Service,Tamara Gustavson,61.0,United States,Lexington,Self storage,Service,United States,False,D,female,1961-11-16 00:00:00,Gustavson,Tamara,2023-04-04 05:01:00,1961.0,11.0,16.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,60s,2–10B,2023,,,,,,,,,,,,,,,
325,7.1,Manufacturing,Liang Wengen,66.0,China,Changsha,Construction equipment,Manufacturing,China,True,D,male,1956-12-14 00:00:00,Liang,Wengen,2023-04-04 05:01:00,1956.0,12.0,14.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,60s,2–10B,2023,,,,,,,,,,,,,,,
325,7.1,Healthcare,Frederik Paulsen,72.0,Switzerland,Lausanne,Health care,Healthcare,Sweden,False,D,male,1950-10-30 00:00:00,Paulsen,Frederik,2023-04-04 05:01:00,1950.0,10.0,30.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,70s,2–10B,2023,,,,,,,,,,,,,,,
325,7.1,Finance & Investments,Wee Cho Yaw,94.0,Singapore,Singapore,Banking,Finance & Investments,Singapore,False,D,male,1929-01-10 00:00:00,Wee,Cho Yaw,2023-04-04 05:01:00,1929.0,1.0,10.0,114.41,0.6,"$372,062,527,489 ",84.8,100.6,83.1,13.1,21.0,5703569.0,1.352083,103.819836,90+,2–10B,2023,,,,,,,,,,,,,,,
325,7.1,Manufacturing,Zhang Hejun,71.0,China,Ningbo,Electronics,Manufacturing,China,True,U,male,1952-01-01 00:00:00,Zhang,Hejun,2023-04-04 05:01:00,1952.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,70s,2–10B,2023,,,,,,,,,,,,,,,
332,7.0,Technology,Marc Benioff,58.0,United States,San Francisco,Business software,Technology,United States,True,D,male,1964-09-25 00:00:00,Benioff,Marc,2023-04-04 05:01:00,1964.0,9.0,25.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,50s,2–10B,2023,,,,,,,,,,,,,,,
332,7.0,Media & Entertainment,Dmitri Bukhman,37.0,United Kingdom,London,Online games,Media & Entertainment,Israel,True,D,male,1985-05-27 00:00:00,Bukhman,Dmitri,2023-04-04 05:01:00,1985.0,5.0,27.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,30s,2–10B,2023,,,,,,,,,,,,,,,
332,7.0,Media & Entertainment,Igor Bukhman,41.0,United Kingdom,London,Online games,Media & Entertainment,Israel,True,D,male,1982-03-29 00:00:00,Bukhman,Igor,2023-04-04 05:01:00,1982.0,3.0,29.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,40s,2–10B,2023,,,,,,,,,,,,,,,
332,7.0,Technology,Jack Dangermond,77.0,United States,Redlands,Mapping software,Technology,United States,True,U,male,1945-07-23 00:00:00,Dangermond,Jack,2023-04-04 05:01:00,1945.0,7.0,23.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,70s,2–10B,2023,,,,,,,,,,,,,,,
332,7.0,Manufacturing,Ashwin Dani & family,80.0,India,Mumbai,Paints,Manufacturing,India,False,D,male,1942-10-24 00:00:00,Dani,Ashwin,2023-04-04 05:01:00,1942.0,10.0,24.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,80s,2–10B,2023,,,,,,,,,,,,,,,
332,7.0,Fashion & Retail,Ralph Lauren,83.0,United States,New York,Apparel,Fashion & Retail,United States,True,U,male,1939-10-14 00:00:00,Lauren,Ralph,2023-04-04 05:01:00,1939.0,10.0,14.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,80s,2–10B,2023,,,,,,,,,,,,,,,
332,7.0,Real Estate,Law Kar Po,74.0,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,False,U,male,1948-08-02 00:00:00,Law,Kar Po,2023-04-04 05:01:00,1948.0,8.0,2.0,,,,,,,,,,,,70s,2–10B,2023,,,,,,,,,,,,,,,
332,7.0,Diversified,Rohiqa Cyrus Mistry,55.0,India,Mumbai,Diversified,Diversified,India,False,N,female,1967-06-06 00:00:00,Mistry,Rohiqa Cyrus,2023-04-04 05:01:00,1967.0,6.0,6.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,50s,2–10B,2023,,,,,,,,,,,,,,,
332,7.0,Diversified,Shapoor Mistry,58.0,India,Mumbai,Diversified,Diversified,Ireland,False,N,male,1964-09-06 00:00:00,Mistry,Shapoor,2023-04-04 05:01:00,1964.0,9.0,6.0,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,11.2,49.7,1366417754.0,20.593684,78.96288,50s,2–10B,2023,,,,,,,,,,,,,,,
332,7.0,Food & Beverage,J. Christopher Reyes,69.0,United States,Hobe Sound,Food distribution,Food & Beverage,United States,True,D,male,1953-12-29 00:00:00,Reyes,J. Christopher,2023-04-04 05:01:00,1953.0,12.0,29.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,60s,2–10B,2023,,,,,,,,,,,,,,,
332,7.0,Food & Beverage,Jude Reyes,67.0,United States,Palm Beach,Food distribution,Food & Beverage,United States,True,D,male,1955-09-16 00:00:00,Reyes,Jude,2023-04-04 05:01:00,1955.0,9.0,16.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,60s,2–10B,2023,,,,,,,,,,,,,,,
332,7.0,Food & Beverage,Don Vultaggio & family,71.0,United States,Port Washington,Beverages,Food & Beverage,United States,True,U,male,1952-02-26 00:00:00,Vultaggio,Don,2023-04-04 05:01:00,1952.0,2.0,26.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,70s,2–10B,2023,,,,,,,,,,,,,,,
344,6.9,Diversified,Alejandro Bailleres Gual & family,62.0,Mexico,,Diversified,Diversified,Mexico,False,U,male,1961-01-01 00:00:00,Bailleres Gual,Alejandro,2023-04-04 05:01:00,1961.0,1.0,1.0,141.54,3.6,"$1,258,286,717,125 ",40.2,105.8,75.0,13.1,55.1,126014024.0,23.634501,-102.552784,60s,2–10B,2023,,,,,,,,,,,,,,,
344,6.9,Diversified,Edythe Broad & family,87.0,United States,Los Angeles,"Homebuilding, insurance",Diversified,United States,False,E,female,1936-01-01 00:00:00,Broad,Edythe,2023-04-04 05:01:00,1936.0,1.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,80s,2–10B,2023,,,,,,,,,,,,,,,
344,6.9,Food & Beverage,Pauline MacMillan Keinath,89.0,United States,St. Louis,Cargill,Food & Beverage,United States,False,D,female,1934-01-01 00:00:00,Keinath,Pauline MacMillan,2023-04-04 05:01:00,1934.0,1.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,80s,2–10B,2023,,,,,,,,,,,,,,,
344,6.9,Finance & Investments,Philippe Laffont,55.0,United States,New York,Hedge fund,Finance & Investments,United States,True,U,male,1967-09-16 00:00:00,Laffont,Philippe,2023-04-04 05:01:00,1967.0,9.0,16.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,50s,2–10B,2023,,,,,,,,,,,,,,,
344,6.9,Technology,Liu Jincheng & family,58.0,China,Huizhou,Lithium batteries,Technology,China,True,D,male,1964-09-22 00:00:00,Liu,Jincheng,2023-04-04 05:01:00,1964.0,9.0,22.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,50s,2–10B,2023,,,,,,,,,,,,,,,
344,6.9,Real Estate,Igor Olenicoff,80.0,United States,Lighthouse Point,Real estate,Real Estate,United States,True,U,male,1942-09-20 00:00:00,Olenicoff,Igor,2023-04-04 05:01:00,1942.0,9.0,20.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,80s,2–10B,2023,,,,,,,,,,,,,,,
344,6.9,Fashion & Retail,Sandra Ortega Mera,54.0,Spain,La Coruna,Zara,Fashion & Retail,Spain,False,U,female,1968-07-09 00:00:00,Ortega Mera,Sandra,2023-04-04 05:01:00,1968.0,7.0,9.0,110.96,0.7,"$1,394,116,310,769 ",88.9,102.7,83.3,14.2,47.0,47076781.0,40.463667,-3.74922,50s,2–10B,2023,,,,,,,,,,,,,,,
344,6.9,Healthcare,Ronda Stryker,68.0,United States,Portage,Medical equipment,Healthcare,United States,False,U,female,1954-05-01 00:00:00,Stryker,Ronda,2023-04-04 05:01:00,1954.0,5.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,60s,2–10B,2023,,,,,,,,,,,,,,,
352,6.8,Energy,Dannine Avara,59.0,United States,Houston,Pipelines,Energy,United States,False,U,female,1964-03-09 00:00:00,Avara,Dannine,2023-04-04 05:01:00,1964.0,3.0,9.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,50s,2–10B,2023,,,,,,,,,,,,,,,
352,6.8,Diversified,Silvio Berlusconi & family,86.0,Italy,Milan,Media,Diversified,Italy,True,D,male,1936-09-29 00:00:00,Berlusconi,Silvio,2023-04-04 05:01:00,1936.0,9.0,29.0,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738,80s,2–10B,2023,,,,,,,,,,,,,,,
352,6.8,Gambling & Casinos,Denise Coates,55.0,United Kingdom,Stoke-on-Trent,Online gambling,Gambling & Casinos,United Kingdom,True,U,female,1967-09-26 00:00:00,Coates,Denise,2023-04-04 05:01:00,1967.0,9.0,26.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,50s,2–10B,2023,,,,,,,,,,,,,,,
352,6.8,Energy,Scott Duncan,40.0,United States,Houston,Pipelines,Energy,United States,False,U,male,1982-11-01 00:00:00,Duncan,Scott,2023-04-04 05:01:00,1982.0,11.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,40s,2–10B,2023,,,,,,,,,,,,,,,
352,6.8,Energy,Milane Frantz,53.0,United States,Houston,Pipelines,Energy,United States,False,U,female,1969-08-12 00:00:00,Frantz,Milane,2023-04-04 05:01:00,1969.0,8.0,12.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,50s,2–10B,2023,,,,,,,,,,,,,,,
352,6.8,Finance & Investments,"Edward Johnson, IV.",58.0,United States,Boston,Fidelity,Finance & Investments,United States,False,U,male,1964-11-18 00:00:00,Johnson,Edward,2023-04-04 05:01:00,1964.0,11.0,18.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,50s,2–10B,2023,,,,,,,,,,,,,,,
352,6.8,Finance & Investments,Yuri Milner,61.0,United States,Los Altos,Tech investments,Finance & Investments,Israel,True,D,male,1961-11-11 00:00:00,Milner,Yuri,2023-04-04 05:01:00,1961.0,11.0,11.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,60s,2–10B,2023,,,,,,,,,,,,,,,
352,6.8,Technology,Gordon Moore,94.0,United States,Woodside,Intel,Technology,United States,True,D,male,1929-01-03 00:00:00,Moore,Gordon,2023-04-04 05:01:00,1929.0,1.0,3.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,90+,2–10B,2023,,,,,,,,,,,,,,,
352,6.8,Finance & Investments,John Overdeck,53.0,United States,Millburn,Hedge funds,Finance & Investments,United States,True,U,male,1969-12-21 00:00:00,Overdeck,John,2023-04-04 05:01:00,1969.0,12.0,21.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,50s,2–10B,2023,,,,,,,,,,,,,,,
352,6.8,Finance & Investments,David Siegel,61.0,United States,Scarsdale,Hedge funds,Finance & Investments,United States,True,U,male,1961-07-15 00:00:00,Siegel,David,2023-04-04 05:01:00,1961.0,7.0,15.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,60s,2–10B,2023,,,,,,,,,,,,,,,
352,6.8,Diversified,Viktor Vekselberg,65.0,Russia,Moscow,"Metals, investments",Diversified,Russia,True,U,male,1957-04-14 00:00:00,Vekselberg,Viktor,2023-04-04 05:01:00,1957.0,4.0,14.0,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,11.4,46.2,144373535.0,61.52401,105.318756,60s,2–10B,2023,,,,,,,,,,,,,,,
352,6.8,Technology,Wang Laisheng,58.0,China,Shenzhen,Electronics components,Technology,Hong Kong,True,D,male,1964-12-14 00:00:00,Wang,Laisheng,2023-04-04 05:01:00,1964.0,12.0,14.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,50s,2–10B,2023,,,,,,,,,,,,,,,
352,6.8,Energy,Randa Duncan Williams,61.0,United States,Houston,Pipelines,Energy,United States,False,U,female,1961-08-28 00:00:00,Williams,Randa Duncan,2023-04-04 05:01:00,1961.0,8.0,28.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,60s,2–10B,2023,,,,,,,,,,,,,,,
365,6.7,Finance & Investments,Ken Fisher,72.0,United States,Dallas,Money management,Finance & Investments,United States,True,U,male,1950-11-29 00:00:00,Fisher,Ken,2023-04-04 05:01:00,1950.0,11.0,29.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,70s,2–10B,2023,,,,,,,,,,,,,,,
365,6.7,Finance & Investments,Christopher Hohn,56.0,United Kingdom,London,Hedge funds,Finance & Investments,United Kingdom,True,D,male,1966-10-27 00:00:00,Hohn,Christopher,2023-04-04 05:01:00,1966.0,10.0,27.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,50s,2–10B,2023,,,,,,,,,,,,,,,
365,6.7,Manufacturing,Kjeld Kirk Kristiansen,75.0,Denmark,Billund,Lego,Manufacturing,Denmark,False,D,male,1947-12-27 00:00:00,Kristiansen,Kjeld Kirk,2023-04-04 05:01:00,1947.0,12.0,27.0,110.35,0.8,"$348,078,018,464 ",80.6,101.3,81.0,32.4,23.8,5818553.0,56.26392,9.501785,70s,2–10B,2023,,,,,,,,,,,,,,,
365,6.7,Manufacturing,Sofie Kirk Kristiansen,47.0,Denmark,Billund,Lego,Manufacturing,Denmark,False,D,female,1976-01-01 00:00:00,Kristiansen,Sofie Kirk,2023-04-04 05:01:00,1976.0,1.0,1.0,110.35,0.8,"$348,078,018,464 ",80.6,101.3,81.0,32.4,23.8,5818553.0,56.26392,9.501785,40s,2–10B,2023,,,,,,,,,,,,,,,
365,6.7,Manufacturing,Thomas Kirk Kristiansen,44.0,Denmark,Billund,Lego,Manufacturing,Denmark,False,D,male,1979-01-01 00:00:00,Kristiansen,Thomas Kirk,2023-04-04 05:01:00,1979.0,1.0,1.0,110.35,0.8,"$348,078,018,464 ",80.6,101.3,81.0,32.4,23.8,5818553.0,56.26392,9.501785,40s,2–10B,2023,,,,,,,,,,,,,,,
365,6.7,Healthcare,Massimiliana Landini Aleotti & family,80.0,Italy,Fiesole,Pharmaceuticals,Healthcare,Italy,False,U,female,1943-01-01 00:00:00,Landini Aleotti,Massimiliana,2023-04-04 05:01:00,1943.0,1.0,1.0,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,24.3,59.1,60297396.0,41.87194,12.56738,80s,2–10B,2023,,,,,,,,,,,,,,,
365,6.7,Automotive,Li Ping,55.0,China,Ningde,Batteries,Automotive,Hong Kong,True,D,male,1968-01-01 00:00:00,Li,Ping,2023-04-04 05:01:00,1968.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,50s,2–10B,2023,,,,,,,,,,,,,,,
365,6.7,Manufacturing,Lin Jianhua,60.0,China,Hangzhou,Solar panel components,Manufacturing,China,True,Split Family Fortune,male,1962-08-01 00:00:00,Lin,Jianhua,2023-04-04 05:01:00,1962.0,8.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,60s,2–10B,2023,,,,,,,,,,,,,,,
365,6.7,Manufacturing,Magdalena Martullo-Blocher,54.0,Switzerland,Feldmeilen,Chemicals,Manufacturing,Switzerland,False,D,female,1969-01-01 00:00:00,Martullo-Blocher,Magdalena,2023-04-04 05:01:00,1969.0,1.0,1.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,50s,2–10B,2023,,,,,,,,,,,,,,,
365,6.7,Telecom,Xavier Niel,55.0,France,Paris,"Internet, telecom",Telecom,France,True,D,male,1967-08-25 00:00:00,Niel,Xavier,2023-04-04 05:01:00,1967.0,8.0,25.0,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,24.2,60.7,67059887.0,46.227638,2.213749,50s,2–10B,2023,,,,,,,,,,,,,,,
365,6.7,Energy,Terrence Pegula,72.0,United States,Boca Raton,Natural gas,Energy,United States,True,U,male,1951-03-27 00:00:00,Pegula,Terrence,2023-04-04 05:01:00,1951.0,3.0,27.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,70s,2–10B,2023,,,,,,,,,,,,,,,
365,6.7,Real Estate,"Edward Roski, Jr.",84.0,United States,Los Angeles,Real estate,Real Estate,United States,False,U,male,1938-12-25 00:00:00,Roski,Edward,2023-04-04 05:01:00,1938.0,12.0,25.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,80s,2–10B,2023,,,,,,,,,,,,,,,
365,6.7,Real Estate,John A. Sobrato & family,83.0,United States,Atherton,Real estate,Real Estate,United States,True,U,male,1939-05-23 00:00:00,Sobrato,John A.,2023-04-04 05:01:00,1939.0,5.0,23.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,80s,2–10B,2023,,,,,,,,,,,,,,,
365,6.7,Finance & Investments,George Soros,92.0,United States,Katonah,Hedge funds,Finance & Investments,United States,True,D,male,1930-08-12 00:00:00,Soros,George,2023-04-04 05:01:00,1930.0,8.0,12.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,90+,2–10B,2023,,,,,,,,,,,,,,,
365,6.7,Technology,David Sun,71.0,United States,Irvine,Computer hardware,Technology,United States,True,U,male,1951-10-12 00:00:00,Sun,David,2023-04-04 05:01:00,1951.0,10.0,12.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,70s,2–10B,2023,,,,,,,,,,,,,,,
365,6.7,Manufacturing,Agnete Kirk Thinggaard,39.0,Denmark,Billund,Lego,Manufacturing,Denmark,False,D,female,1983-05-18 00:00:00,Thinggaard,Agnete Kirk,2023-04-04 05:01:00,1983.0,5.0,18.0,110.35,0.8,"$348,078,018,464 ",80.6,101.3,81.0,32.4,23.8,5818553.0,56.26392,9.501785,30s,2–10B,2023,,,,,,,,,,,,,,,
365,6.7,Technology,John Tu,81.0,United States,Rolling Hills,Computer hardware,Technology,United States,True,U,male,1941-08-12 00:00:00,Tu,John,2023-04-04 05:01:00,1941.0,8.0,12.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,80s,2–10B,2023,,,,,,,,,,,,,,,
365,6.7,Food & Beverage,Xu Shihui,65.0,China,Quanzhou,"Snacks, beverages",Food & Beverage,China,True,D,male,1958-01-01 00:00:00,Xu,Shihui,2023-04-04 05:01:00,1958.0,1.0,1.0,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,9.4,59.2,1397715000.0,35.86166,104.195397,60s,2–10B,2023,,,,,,,,,,,,,,,
383,6.6,Manufacturing,Rahel Blocher,47.0,Switzerland,Wilen bei Wollerau,Chemicals,Manufacturing,Switzerland,False,D,female,1976-01-01 00:00:00,Blocher,Rahel,2023-04-04 05:01:00,1976.0,1.0,1.0,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,10.1,28.8,8574832.0,46.818188,8.227512,40s,2–10B,2023,,,,,,,,,,,,,,,
383,6.6,Food & Beverage,Bubba Cathy,68.0,United States,Atlanta,Chick-fil-A,Food & Beverage,United States,False,U,male,1954-04-22 00:00:00,Cathy,Bubba,2023-04-04 05:01:00,1954.0,4.0,22.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,60s,2–10B,2023,,,,,,,,,,,,,,,
383,6.6,Food & Beverage,Dan Cathy,70.0,United States,Atlanta,Chick-fil-A,Food & Beverage,United States,False,U,male,1953-03-01 00:00:00,Cathy,Dan,2023-04-04 05:01:00,1953.0,3.0,1.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,70s,2–10B,2023,,,,,,,,,,,,,,,
383,6.6,Food & Beverage,Trudy Cathy White,67.0,United States,Hampton,Chick-fil-A,Food & Beverage,United States,False,U,female,1955-12-17 00:00:00,Cathy White,Trudy,2023-04-04 05:01:00,1955.0,12.0,17.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,60s,2–10B,2023,,,,,,,,,,,,,,,
383,6.6,Finance & Investments,Bruce Kovner,78.0,United States,New York,Hedge funds,Finance & Investments,United States,True,U,male,1945-02-25 00:00:00,Kovner,Bruce,2023-04-04 05:01:00,1945.0,2.0,25.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,70s,2–10B,2023,,,,,,,,,,,,,,,
383,6.6,Technology,"Henry Nicholas, III.",63.0,United States,Newport Coast,Semiconductors,Technology,United States,True,U,male,1959-10-08 00:00:00,Nicholas,Henry,2023-04-04 05:01:00,1959.0,10.0,8.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,60s,2–10B,2023,,,,,,,,,,,,,,,
383,6.6,Finance & Investments,Nadia Thiele,47.0,Germany,Munich,Investments,Finance & Investments,Germany,False,U,female,1976-01-07 00:00:00,Thiele,Nadia,2023-04-04 05:01:00,1976.0,1.0,7.0,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,11.5,48.8,83132799.0,51.165691,10.451526,40s,2–10B,2023,,,,,,,,,,,,,,,
390,6.5,Finance & Investments,David Bonderman,80.0,United States,Fort Worth,Private equity,Finance & Investments,United States,True,U,male,1942-11-27 00:00:00,Bonderman,David,2023-04-04 05:01:00,1942.0,11.0,27.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,80s,2–10B,2023,,,,,,,,,,,,,,,
390,6.5,Technology,Melinda French Gates,58.0,United States,Medina,Microsoft,Technology,United States,False,U,female,1964-08-15 00:00:00,French Gates,Melinda,2023-04-04 05:01:00,1964.0,8.0,15.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,50s,2–10B,2023,,,,,,,,,,,,,,,
390,6.5,Fashion & Retail,Nathan Kirsh,91.0,Eswatini (Swaziland),Ezulwini,"Retail, real estate",Fashion & Retail,Eswatini (Swaziland),True,U,male,1932-01-06 00:00:00,Kirsh,Nathan,2023-04-04 05:01:00,1932.0,1.0,6.0,,,,,,,,,,,,90+,2–10B,2023,,,,,,,,,,,,,,,
390,6.5,Real Estate,Annette Lerner & family,93.0,United States,Chevy Chase,Real estate,Real Estate,United States,False,N,female,1930-02-27 00:00:00,Lerner,Annette,2023-04-04 05:01:00,1930.0,2.0,27.0,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,9.6,36.6,328239523.0,37.09024,-95.712891,90+,2–10B,2023,,,,,,,,,,,,,,,
390,6.5,Real Estate,David Reuben,84.0,United Kingdom,London,"Investments, real estate",Real Estate,United Kingdom,True,D,male,1938-09-01 00:00:00,Reuben,David,2023-04-04 05:01:00,1938.0,9.0,1.0,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,25.5,30.6,66834405.0,55.378051,-3.435973,80s,2–10B,2023,,,,,,,,,,,,,,,
390,6.5,Diversified,Simon Reuben,81.0,Monaco,Monaco,"Real estate, investments",Diversified,United Kingdom,True,D,male,1941-05-01 00:00:00,Reuben,Simon,2023-04-04 05:01:00,1941.0,5.0,1.0,,,"$7,184,844,193 ",,,,,,38964.0,43.7384176,7.4246158,80s,2–10B,2023,,,,,,,,,,,,,,,
